NAVIDAD             PICTIONARY           GUARDAPOLVO        PALMERA
Oliva               Pintar               Calcio             Blancas
Freír              Cartucho             Perro              Negras



PASTO               ROCK & POP           COMPUTADORA        TAPA
Verde               Radio                Programa           Rosca
Césped             106,3                Impresora          Cerrar
Jardín             Aspen                Disquete           Cacerola
Hierba              Horizonte            Monitor            Hermética
Cortar              FM                   Teclado            Cubierta


RUTA                REGALO                     IGLOO              MEJILLA
Camino              Cumpleaños               Alaska             Beso
Autos               Dar                   Esquimal           Cara
Peaje               Navidad                  Nieve              Bofetada
Autopista           Presente              Casa               Cachete
Carretera           Obsequio             Hielo              Moflete



PARED               BOLETO               PULPO              EPIDEMIA
Casa                Tren                 Ocho               Vacuna
Separar             Colectivo            Tentáculos        Enfermedad
Muro                Pasaje               Tinta              Contagiarse
Medianera           Sacar                Pescadera          País
Ladrillos           Micro                Océano            Muertos



ACTIVISTA           OTOÑO               SOGA               CITA
Político           Mes                  Atar               Reunión
Militante           Estación            Nudo               Fecha
Derecho             Hojas                Ahorcar            Pedir
Estudiante          Verano               Cuerda             Encontrarse
Protesta            Invierno             Sujetar            Teléfono



MONO                BOTON                PUBLICO            QUINI 6
Chimpancé          Camisa               Aplauso            Juego
Chita               Ojal                 Gente              Loto
Gorila              Cierre               Privado            Apuesta
Tarzán             Abrochar             Espectáculo       Números
Simio               Manga                Teatro             Agencia
                                         ç



ASFALTO             DESEO             BOOMERANG          SOLDADO
Negro               Querer               Aire               Conscripto
Pavimento           Capricho                Australia          Guerra
Camino              Sexual                Forma              Militar
Brea                Tener                     Volver             Colimba
Alquitrán           Pedir                    Tirar              Ejercito





AZUCAR              APELLIDO             DIVORCIADO         VIEJO
Blanco              Nombre               Casado             Joven
Endulzar            Familia              Estado civil       Jubilado
Edulcorante         Hijo                 Separado           Abuelo
Café               Padre                Ex                 Nuevo
Caramelo            Llamarse             Matrimonio         Antiguo



CALAVERA            BASTON               ACOPLADO           TRENZA
Cráneo             Apoyar               Camión            Niña
Pirata              Rengo                Remolque           Peinado
Hamlet              Palo                 Carga              Cabeza
Huesos              Caminar              Transporte         Pelo
Cabeza              Viejo                Detrás            Tres



CARACOL             ESPEJO               LADRIDO            EMBUDO
Cuernos             Vidrio               Perro              Botella
Espiral             Retrovisor           Voz                Liquido
Arrastrarse         Reflejar             Asustar            Damajuana
Lento               Ver                  Morder             Hueco
Jardín             Pared                Guardián          Llenar



LASAGNA             ADIVINANZA           CORTINA            TARJETA POSTAL
Pasta               Acertijo             Ventana            Correo
Capas               Saber                Tela               Vacaciones
Comida              Misterio             Riel               Recuerdos
Italiano            Descifrar            Correr             Foto
Horno               Descubrir            Cerrar             Cartero



PIANO               CHICLE               OCULISTA           DALMATA
Instrumento         Beldent              Consulta           Animal
Música             Golosina             Vista              Perro
Teclado             Bazooka              Miope              Raza
Tocar               Globo                Lentes             Manchas
Manos               Masticar             Medico             Ladrar



OFICINA             IMPUESTOS            BATALLA            OMBLIGO
Negocio             IVA                  Armas              Panza
Administración     Pagar                Combate            Cordón
Trabajo             DGI                  Conflicto          Cicatriz
Secretaria          Réditos             Lucha              Marca
Escritorio          Ganancias            Guerra             Umbilical



FELICIDAD           ALBONDIGA            TORRE EIFEL        ESCUELA
Bienestar           Redonda              París             Guardapolvo
Alegría            Comida               Francia            Maestra
Dichoso             Carne                Europa             Recreo
Suerte              Cacerola             Símbolo           Aula
Desgracia           Bola                 Ciudad Luz         Alumnos


GARGANTA            BANDA                HUERFANO           MISIL
Cuello              Música              Padres             Cohete
Faringe             Orquesta             Papa               Exocet
Tragar              Grupo                Mama               Proyectil
Amígdalas          Instrumentos         Asilo              Arma
Laringe             Marchas              Adoptar            Explosión



CIRUGIA ESTETICA    ECO                  KELLOGG’S        IBM
Operación          Voz                  Palitos            Computadora
Plástica           Sonido               Chizitos           Impresora
Lifting             Repetir              Papas fritas       Monitor
Arruga              Montaña             Bun                Marca
Siliconas           Gritar               Marca              Teclado



GAUCHO              MAQUILLAJE           UNICORNIO          VENTRILOCUO
Argentino           Perfumería          Silvio Rodríguez  Muñeco
Pampa               Belleza              Animal             Chasman y Chirolita
Martín Fierro      Cosmético           Patas              Hablar
Rancho              Salir                Caballo            Vientre
Campo               Arreglarse           Azul               Boca



LABERINTO           ZURDO                OPERA              ESPADA
Perderse            Mano                 Cantar             Acero
Camino              Izquierda            Escena             Arma
Entrada             Derecha              Música            Cuchillo
Salir               Comunista            Pavarotti          Esgrima
Lugar               Maradona             Tenor              Sable


SEMILLA             CANDADO              CIEGO              CONEJO
Plantar             Cerradura            Bastón            Animal
Tierra              Llaves               Lazarillo          Dientes
Flor                Ladrón              Ver                Orejas
Crecer              Seguridad            Perro              Bugs Bunny
Regar               Combinación         Braile             Zanahoria



EMBAJADOR           CODIGO               TRAMPOLILN         HUEVO
País               Lenguaje             Pileta             Clara
Diplomático        Morse                Zambullida         Gallina
Extranjero          Descifrar            Nadar              Frito
Político           Secreto              Agua               Comida
Representar         Clave                Tirarse            Yema



TROMPETA            CALLE                DESTORNILLADOR     VELADOR
Instrumento         Avenida              Herramienta        Luz
Música             Semáforo            Mano               Lámpara
Tocar               Negocios             Tuerca             Leer
Louis Amstrong      Vereda               Clavo              Cama
Jazz                Cruzar               Vuelta             Mesa



ARAÑA              SUPERMAN             UNIVERSIDAD        ESCAPARSE
Insecto             Criptonita           Estudios           Huir
Tarántula          Louis Lane           Cátedra           Quedarse
Tejes               Clarck Kent          Facultad           Evadirse
Tela                Película            Carrera            Rápido
Ratas               Colar                Terciario          Correr


MARINERO            MESA                 JUGUETE            LINTERNA
Soldado             Silla                Chicos             Luz
Blanco              Mueble               Reyes              Portátil
Puerto              Comer                Regalo             Lámpara
Barco               Patas                Chiche             Pilas
Popeye              Mantel               Niños             Farol



DENTISTA            ACUARIO              CLEMENTE           ADAN
Boca                Agua                 Mulatona           Serpiente
Caries              Mar                  Brazos             Eva
Torno               Zoológico           Caloy              Hombre
Anestesia           Pecera               Clarín            Manzana
Muelas              Casa                 Chiste             Paraíso



COLMENA             ANTIDOTO             CUCHARA            BANDERA
Abeja               Medicamento          Tenedor            Flamear
Avispa              Cura                 Mesa               País
Aguijón            Salvar               Comer              Mástil
Miel                Remedio              Sopa               Azul
Panal               Veneno               Cuchillo           Símbolo



CEPILLO DE DIENTES  RADIO                CEMENTO            ACTOR
Cerdas              FM                   Cal                Artista
Boca                AM                   Arena              Interprete
Pasta               Dial                 Loma negra         Películas
Fluor               Noticias             Ladrillos          Teatro
Limpiar             Sintonía            Obra               Televisión


SONAMBILO           TORNO                ALBERT EINSTEIN    POSITIVO
Dormir              Muela                Teoría            Resultado
Caminar             Caries               Bomba atómica     Si
Sueño              Dentista             Relatividad        Mas
Levantarse          Dolor                Físico            Negativo
Noche               Boca                 Científico        Signo



PIRELLI             TROFEO               CARPINTERO         PUMPER NIC
Neumáticos         Carrera              Madera             Comer
Ruedas              Ganar                Lija               Hamburguesa
Llanta              Campeón             Ebanista           Hipopótamo
Auto                Premio               Barnizar           Mac Donalds
Marca               Copa                 Mueble             Auto-Service



ERROR               SUBTE                CUERPO HUMANO      SHERLOCK HOLMES
Equivocarse         Tren                 Anatomía          Watson
Fallar              Transporte           Piernas            Detective
Mal                 Ciudad               Esqueleto          Lupa
Lapsus              Debajo               Cadáver           Pipa
Acierto             Estación            Musculos           Ingles



CURITA              BOWLING              LENGUA             AGREE
Corte               Strike               Boca               Shampoo
Sangre              Juego                Gusto              Pelo
Venda               Cancha               Chupar             Lavar
Protección         Tirar                Hablar             Marca
Lastimadura         Canaleta             Idioma             Crema de enjuague


SOBRE               ZOOLOGICO            ALMOHADON          CARAMELO
Carta               Animales             Sofá              Papel
Remitente           Jaulas               Sillón            Suchard
Correo              Jardín Botánico    Apoyacabezas       Caries
Buzón              Cautiverio           Plumas             Dulce
Estampilla          Cutini               Funda              Quiosco



POEMA               BIKINI               SMOKING            ESCLAVO
Palabra             Tanga                Traje de etiqueta  Encadenado
Escribir            Playa                Negro              Libre
Rima                Baño                Ceremonia          Escapar
Verso               Malla                Gala               Cautivo
Declamar            Dos piezas           Frac               Prisionero



HOGAS A LEÑA       FOTOCOPIA            ACOMODADOR         ELEGANTE
Chimenea            Duplicado            Cine               Atractivo
Humo                Xerox                Linterna           Aspecto
Fuego               Original             Asiento            Encantador
Madera              Papel                Propina            Bien vestido
Quemar              Hojas                Programa           Ropa



BIGOTES             MOÑO                TUNEL              AJLEA
Mostachos           Nudo                 Agujero            Dulce
Boca                Corbata              Subterráneo       Fruta
Pelo                Atar                 Pasar              Mermelada
Barba               Seda                 Montañas          Gelatina
Labio               Regalo               Puente             Consistencia



ARCO IRIS           CATARATAS DEL IGUAZU INVERNADERO        AMENAZA
Lluvia              Agua                 Caliente           Asustar
Cielo               Argentina            Cultivar           Carta
Colores             Misiones             Cubierto           Peligro
Curva               Turistas             Plantas            Advertencia
Sol                 Cascada              Vidrio             Aviso



ZAPATILLAS          VIOLIN               GI-MONTE           NUDILLO
Calzado             Cuerdas              Crema              Hueso
Caminar             Instrumento          Apaga              Articulación
Deportes            Música              Luz                Parte
Suela               Arco                 Erección          Mano
Medias              Stradivarius         Pomada             Dedo



ESTADIO             PENTAGRAMA           ESTATUA DE LA LIBERTAD     BILLAR
Espectador          Líneas               Mujer          Juego
Cancha              Cinco                Antorcha              Bolas
Deportivo           Música               Monumento          Pool
Futbol              Componer             Estados Unidos          Taco
Olímpico           Notas                 New York    Carambola



AMBULANCIA          ICEBERG              TORTA              ARRUGA
Camilla             Hielo                Dulce              Planchar
Hospital            Polo                 Postre             Línea
Vehiculo            Glaciar              Cumpleaños        Cara
Herido              Flotante             Pastel             Piel
Sirena              Titanic              Velitas            Viejo


PELUCA              MICROBIO             PISTOLA            CARNICERO
Postizos            Pequeño             Arma               Vender
Cabeza              Infección           Revolver           Vaca
Cabellera           Antibióticos        Disparar           Comprar
Pelado              Vacuna               Balas              Asado
Artificial          Enfermedad           Gatillo            Mercado



REVOLUCION          RETRATO              ALBUM              MURCIELAGO
De mayo             Identikit            Figuritas          Vampiro
Francesa            Cara                 Colección         Colmillos
Movimiento          Dibujar              Fotos              Batman
Sublevación        Fotografía          Libro              Sangre
Levantamiento       Pintura              Estampillas        Noche



CAMA                JARDIN               PRISMATICOS        PROSTITUTA
Dormir              Botánico            Larga vista        Puta
Colchón            Pasto                Mirar              Mujer
Almohada            Japonés             Catalejo           Pagar
Acostarse           Flores               Anteojos           Profesional
Sueño              Plantas              Cerca              Calle



CAÑO               VELA                 ORO                SALVAVIDAS
Tubo                Luz                  Dientes            Nadar
Agua                Cera                 Metal precioso     Pileta
Electricidad        Candelabro           Kilate             Playa
Redondo             Cumpleaños          Anillo             Flotar
Hueco               Mecha                Caro               Ahogarse



PINGÜINO           COÑAC               BARILOCHE          AMPOLLA
Antártida          Copa                 Neuquén           Herida
Animal              Bebida               Argentina          Piel
Blanco              Alcohol              Ciudad             Quemadura
Negro               Reserva San Juan     Nieve              Roce
Pájaro             Licor                Egresados          Zapatos



VIUDA               FALSO                AGUA               DISFRAZ
Marido              Mentir               Liquido            Baile
Negro               Verdadero            Beber              Traje
Muerte              Cuadros              Tomar              Carnaval
Mujer               Dinero               Sed                Mascara
Duelo               Trucho               Canilla            Fiesta



LAVE-RAP            CITIZEN                     ESTRANGULAR        ESTEROIDES
Negocio             Reloj              Asesinar           Doping
Ropa                Agujas                Asfixiar           Droga
Maquina             Muñeca               Matar              Atleta
Automático           Hora             Cuello             Hormonas
Jabón                Marca              Garganta           Músculos




COPA                AVESTRUZ             BATUTA             IMAN
Beber               Animal               Director           Hierro
Agua                Plumas               Orquesta           Atracción
Cristal             Esconder             Palo               Brújula
Vidrio              Correr               Varilla            Norte
Vaso                Ala                  Músicos           Magnético


ADOLESCENTE         CARCEL               BOMBON             AYUDA
Adulto              Barrotes             Comer              Apoyo
Chico               Prisión             Dulce              Auxilio
Joven               Celda                Caramelo           Socorro
Muchacho            Delincuente          Chocolate          Problema
Pubertad            Ladrón              Caja               Asistencia



CARA                SIRENA               SPAR               CARNADA
Frente              Pez                  Cocina             Cebo
Boca                Canto                Purificador        Caña
Ojos                Mar                  Sacar              Anzuelo
Cabeza              Cola                 Extractor          Pescar
Nariz               Mujer                Humo               Lombriz



ANTEOJOS PARA SOL   PATRIK               SATELITE           SIMPLE
Lentes              Heladera             Espacio            Difícil
Ojos                Freezer              TV                 Doble
Oscuros             Marca                Orbita             Fácil
Luz                 Congelador           Luna               Compuesto
Rayban              Los abrepuertas      Artificial         Sencillo



MOTOR               DESCIFRAR            WRANGLER           VENUS
Mover               Jeroglífico         Jean               Mercurio
Coche               Código              Pantalón          Plutón
Capot               Leer                 Ropa               Espacio
Maquina             Secreto              Camisa             Planeta
Mecánica           Clave                Marca              Luna


SYLVAPEN            TATI BORES           DESCONGELAR        COSECHA
Colores             TV                   Derretir           Siembra
Marcadores          Monologo             Deshielo           Recolección
Birome              Peluca               Freezer            Fruta
Escribir            Domingo              Agua               Trigo
2 Km                Humor                Heladera           Campesino



VACACIONES          SECRETO                     AUTOGRAFO          AMOR
Trabajo             Confidencial              Fan                Querer
Descanso            Saber         Lapicera           Casamiento
Verano              Conservar                Famoso             Corazón
Viaje               Decir            Firma              Afecto
Playa               Guardar                Nombre             Odio




PARIS                DETECTIVE            CASAMIENTO         CEBRA
Torre Eiffel         Crimen               Boda               Animal
Francois Mitterrand  Pista                Iglesia            Blanco
Francia              Investigador         Luna de Miel       Caballo
Europa               Sherlock Holmes      Novia              Rayado
Capital              Lupa                 Civil              Negro



CAMISA              VIBORA               COCHE FUNEBRE      MANTECA
Corbata             Cleopatra            Cementerio         Alimento
Pantalón           Serpiente            Llevar             Vaca
Manga               Culebra              Funeral            Leche
Botón              Reptil               Muerto             Margarina
Saco                Veneno               Vehiculo           Untar


ACEITUNA            MARCO                MAFALDA            SAUL UBALDINI
Negra               Foto                 Dibujo             Campera
Carozo              Cuadro               Quino              CGT
Olivo               Retrato              Chiste             Gremialista
Clemente            Puerta               Niña              Político
Verde               Pintura              Manolito           Huelgas



TITERE              MULETAS              CALCULADORA        PELE
Marioneta           Caminar              Operaciones        Futbolista
Hilos               Discapacitado        Maquina            Nº 10
Madera              Yeso                 Aparato            Brasileño
Muñecos            Pierna               Números           Deportista
Mano                Roto                 Pilas              Xuxa



TELARAÑA           CARLOS GARDEL        ONDA               SOLTERO
Polvo               Cantante             Ola                Casado
Hilo                Medellín            Movimiento         Novio
Insecto             Zorzal               Mar                Estado Civil
Plumero             Tango                Línea             Despedida
Trampa              Argentino            Curva              Compromiso



MARTILLO            PIPA                 NIG BEN            PALMADA
Clavo               Fumar                Inglaterra         Amistoso
Maza                Tabaco               Londres            Golpecito
Herramienta         Cigarrillo           Monumento          Espalda
Golpear             Humo                 Reloj              Mano
Dedo                Nicotina             Tiempo             Aplauso


ADIDAS              MOLINO DE VIENTO     RECETA             TERMO
Tres tiras          Campo                Comida             Botella
Indumentaria        Aspas                Indicaciones       Caliente
Deportes            Holanda              Ingredientes       Frío
Zapatillas          Harina               Instrucciones      Agua
Ropa                Don Quijote          Cocinar            Mate



PIC NIC             TABACO               ELEFANTE           CANGREJO
Cesta               Cigarrillo           Marfil             Pinzas
Comer               Hojas                Africa             Crustáceo
Pasto               Fumar                Trompa             Caparazón
Excursión          Habano               Colmillo           Caminar
Domingo             Pipa                 Dumbo              Mar



VAMPIRO             MOVICOM              TREN ELECTRICO     PELUQUERO
Murciélago         Llamar               Vías              Afeitar
Sangre              Teléfono            Humo               Cabello
Chupar              Auto                 Locomotora         Cortar
Drácula            Hablar               Vehiculo           Bigotes
Cuello              Inalámbrico         Vagón             Tijeras



PRESERVATIVO        HAREN                SANDIA             CHAMPAGNE
Profiláctico       Muchas               Jugosa             Frances
Forro               Mujeres              Verano             Brindar
Latex               Sultan               Fruta              Corcho
Sida                Musulmán            Semilla            Vino
Pene                Concubinas           Verde              Sidra



POSAR               PAISAJE              OVNI               RATING
Cuadro              Viaje                Espacio            Encuesta
Pintor              Campo                Nave               Opinión
Desnudo             Panorama             Extraterrestre     TV
Modelo              Horizonte            Luna               Programa
Postura             Vista                Marciano           Porcentaje



PADDLE              PARASOL              CESTO              TRUCO
Paleta              Luz                  Ropa               Flor
Tenis               Playa                Mimbre             Juego
Red                 Paraguas             Huevos             Envido
Deporte             Proteger             Canasta            Quiero
Paredes             Sombrilla            Guardar            Cartas



FAX                 FABRICA              TOCADISCOS         TELESCOPIO
Copia               Industria            Bandeja            Astrónomo
Mensaje             Operarios            Revoluciones       Estrellas
Enviar              Producir             Pasacasete         Observatorio
Rápido             Obreros              Pua                Planetas
Teléfono           Maquinas             Música            Microscopio



TOALLA              CHISMOSO             PUERTO             KAMIKAZE
Manos               Noticia              Mar                Guerra
Mojado              Soplón              Muelle             Suicida
Secarse             Criticar             Barco              Piloto
Lavatorio           Rumores              Carga              Japonés
Baño               Entrometido          Anclar             Aviador


BELLEZA             PAVA                 CEMENTERIO         CACTUS
Concurso            Mate                 Tumba              Pincha
Hermosa             Hervir               Enterrar           Agua
Linda               Agua                 Funeral            Arena
Mujer               Calentar             Muerte             Desierto
Salón              Te                   Chacarita          Planta



AXE                 BIBLIA               YOGUR              GACEL
Axilas              Religión            Descremado         Senda
Perfume             Dios                 Cucharita          Volkswagen
Desodorante         Libro                Leche              Auto
Marca               Santo                Bebible            Modelo
Aerosol             Testamento           Vaca               Gol



CHOQUE              MARCADOR             ENCHUFE            CARRERA DE CABALLOS
Accidente           Fibra                Electricidad       Apuestas
Coche               Sylvapen             Cables             Stud
Colisión           Pintar               Luz                Hipódromo
Golpe               Colores              Corriente          Pura sangre
Conducir            Escribir             Electrodomésticos   Jockey



BARBA               JUEZ                 PANADERIA          IRRTAR
Afeitar             Sentencia            Flautitas          Alterar
Bigote              Jurado               Harina             Joder
Hombre              Fiscal               Horno              Molestar
Tijeras             Tribunal             Facturas           Enojar
Pelo                Señoria             Miñoncitos        Nervios


LIBRO               KARATE               TARJETA DE CREDITO   DEPARTAMENTO
Leer                Artes Marciales      Dinero              Ascensor
Biblioteca          Judo                 Plástico           Alquilar
Hojas               Oriental             Comprar             Edificio
Encuadernado        Bruce Lee            Plata               Piso
Pagina              Ninja                Pagar              Vivienda



LLAVE               PLUMA                     SECUESTRAR         TEATRO
Puerta              Escribir                Esconder           Escena
Candado             Almohada            Raptar             Función
Coche               Ave             Rehén             Actores
Cerradura           Pájaro                  Rescate            Director
Abrir               Alas              Delito             Telón




CASINO              COMPASION            CICLOMOTOR         DICCIONARIO
Apostar             Sensible             Cilindrada         Definición
Black Jack          Pena                 Moto               Libro
Ruleta              Piedad               2 ruedas           Palabra
Croupier            Sensación           Bicicleta          Significado
Tragamonedas        Desgracia            Manubrio           Larousse



ALPINISTA           CAJA                 COMETA             CINTA DE VIDEO
Escalar             Envase               Estrella           Película
Trepar              Cartón              Cielo              Casete
Montaña            Guardar              Espacio            TV
Cuerdas             Cofre                Astro              Cine
Himalaya            Recipiente           Halley             Socio


AGUILA              CAJA FUERTA          LOCO               BARRIO
Ave                 Combinación         Enojado            Calle
Pájaro             Ladrones             Furioso            Casa
Rapiña             Guardar              Demente            Vecindario
Volar               Robar                Trastornado        Gente
Alas                Joyas                Manicomio          Ciudad



DIEGO MARADONA      ATAQUE               LADRON             ODOL
Deportista          Asalto               Robar              Dentífrico
Numero 10           Violencia            Asalto             Fluor
Boca                Agresión            Arma               Pasta
Selección          Defender             Banco              Cepillo
Futbol              Ofensiva             Delincuente        Marca



KOH-O-NOOR          GARAGE               SILLA              COLECTIVERO
Lavarropas          Estacionamiento      Respaldo           Boleto
Secarropas          Automóvil           Sentarse           Conductor
Centrifugar         Parking              Descansar          Manejar
Electrodomésticos  Cochera              Patas              Transporte
Marca               Guardar              Mueble             Volante



BASURA              CASCARA              NARANJA            PELICULA
Manliba             Banana               Fruta              Cine
Bolsa               Recubrimiento        Jugo               Pantalla
Recolector          Envoltura            Amarillo           Film
Tacho               Naranja              Cítrico           Video
Residuos            Piel                 Limón             Actores


ESPONJA             ZANELLA              ABOGADO            CLAUSTROFOBIA
Bañarse            Ciclomotor           Defensa            Cerrado
Jabón              Marca                Acusado            Miedo
Frotar              Moto                 Letrado            Pánico
Espuma              Nacional             Prueba             Sensación
Ducha               2 ruedas             Juicio             Angustia



ANTIGUO             BOMBACHA             TARANTULA          POMADA
Edad                Ropa                 Negro              Ungüento
Tiempo              Corpiño             Insecto            Piel
Años               Tanga                Araña             Untar
Historia            Calzoncillo          Veneno             Crema
Viejo               Mujer                Peludo             Medicamento



TIMIDO              SED                  ESTRELLA           PLANEADOR
Vergüenza          Bebida               Espacio            Volar
Rubor               Gaseosa              Planeta            Avión
Callado             Seco                 Luna               Motor
Temeroso            Agua                 Fugaz              Alas
Miedo               Calmar               Noche              Piloto



CEPO                ACNE                 LECHE              CHARLY GARCIA
Parquímetro        Cara                 Bebida             Músico
Estacionar          Barrocutina          Blanco             Rock
Multa               Adolescente          La Serenisima      Cantante
Auto                Punto                Sachet             Sui Generis
Grúa               Grano                Vaca               Seru Giran


CANGURO             CARLOS MENEM         CRUCERO            CLUB
Animal              Presidente           Barco              Deportes
Australia           La Rioja             Mar                Socio
Bolsa               Patillas             Vacaciones         Cuota
Salto               Zulema Yoma          Viaje              Jugar
Mamífero           Argentina            Camarote           Vestuario



AVISO CLASIFICADO   VISA                 AMULETO            BINGO
Diario              Tarjeta              Talismán          Lotería
Clarín             Plata                Suerte             Azar
Publicidad          Marca                Superstición      Juego
Vender              Crédito             Pata de conejo     Números
Comprar             Pagar                Mascota            Tarjetas



REUNION             NEGATIVO             PICK UP            BROMA
Trabajo             Polos                Camioneta          Chiste
Grupo               Mas                  Auto               Cómico
Gente               Signo                4 ruedas           Joda
Juntarse            No                   Carga              Risa
Fiesta              Positivo             F-100              Diversión



APAGAR              MARCELO TINELLI      SODA               TRONCO
Prender             Pergolini            Gas                Árbol
Encender            TV                   Burbujas           Leña
Interruptor         Ritmo                Ivess              Madera
Sofocar             Programa             Sifón             Rama
Luz                 Videomatch           Agua               Raíz


TEJA                BEBE                 DESAYUNO           MICROONDAS
Casa                Mamadera             Cena               Cocinar
Rojo                Chupete              Almuerzo           Horno
Lluvia              Nacer                Merienda           Descongelar
Techo               Pañales             Levantarse         Comida
Cubrir              Cuna                 Mañana            Eléctrico



TIERRA              BISTURI              NOVELA             PAÑAL
Hemisferios         Quirófano           Libro              Bebe
Planta              Instrumento          Leer               Caca
Mundo               Cortar               Escritor           Pis
Planeta             Cirujano             Narración         Descartable
Maceta              Operar               Cuento             Talco



JABALINA            MICKEY               TRAGAMONEDAS       APLAUSO
Lanza               Walt Disney          Tres               Golpear
Olimpiadas          Dibujos animados     Casino             Palmas
Atletismo           Ratón               Maquina            Manos
Tirar               Minnie               Jugar              Ovación
Disciplina          Pluto                Azar               Espectáculo



CURANDERO           ESPERMATOZOIDE       ALVARO ALSOGARAY   CARNAVAL
Doctor              Pena                 Maria Julia        Bombitas
Tribu               Eyacular             Político          Mojar
Enfermo             Ovulo                UCD                Ríos de Janeiro
Remedio             Testículos          Ministro           Corso
Medico              Semen                Liberal            Comparsas


SOÑAR              TORPEDO              PING PONG          AUSTRALIA
Noche               Barco                Paleta             Canguro
Dormir              Misil                Red                Isla
Despierto           Explosión           Pelota             Koala
Cama                Submarino            Juego              País
Pesadilla           Bomba                Tenis de Mesa      Sydney



RESCATE             VIRGEN               PLANCHA            PULLOVER
Dinero              Maria                Electrodoméstico  Lana
Pago                Hombre               Ropa               Invierno
Rehén              Himen                Arruga             Abrigo
Secuestrar          Lujan                Apresto            Sueter
Instrucciones       Sexo                 Calor              Tejido



BORRACHO            HUMO                 FIDEOS             ORQUESTA
Mamado              Smog                 Spaguetti          Director
Ebrio               Fuego                Pasta              Instrumentos
Tomar               Quemar               Tuco               Músicos
Vino                Cigarrillo           Tallarin           Concierto
Alcohólico         Chimenea             Comida             Sinfonía



JIRAFA              SORPRESA             MINIFALDA          NEUMONIA
Alto                Cumpleaños          Pollera            Enfermedad
Animal              Regalo               Ropa               Frío
Cuello              Fiesta               Mujer              Bronquios
Manchas             Inesperada           Corta              Pulmón
Largo               Imprevisto           Vestido            Inflamación


BUHO                PULMON               COMISARIA          MOSTAZA
Árbol              Corazón             Patrullero         Savora
Grito               Respirar             Policía           Condimento
Pájaro             Dos                  Detenerse          Pancho
Sabio               Torax                Barrio             Hamburguesa
Noche               Cuerpo               Calabozo           Salchicha



FIDEL CASTRO        PAGINA/12            LIBRE              LAS LEÑAS
Barba               Diario               Ocupado            Chapelco
Isla                Matutino             Taxi               Mendoza
Cuba                Jorge Lanata         Preso              Esquiar
Presidente          Títulos             Esclavo            Argentina
Caribe              Periódico           Pájaro            Nieve



DIENTE              SEMAFORO             LINEA              GRANBY
Boca                Trafico              Raya               Verdes
Caries              Calle                Escribir           Lavarropa
Muela               Señal               Trazo              Polvo
Torno               Rojo                 Recta              Azules
Encías             Verde                Curva              Jabón



TESTICULOS          KODAK                EMERGENCIA         PROFESION
Genitales           Cámara              Ambulancia         Carrera
Pene                Fotografía          Urgencia           Trabajo
Hombre              Film                 S.O.S.             Laburo
Semen               Marca                Llamada            Ocupación
Bolas               Revelar              Accidente          Oficio


BATMAN              MILLONARIO           CANOA              REVISTA
Gatubela            Jet-Set              Agua               Diario
Ciudad Gotica       Tener                Navegar            Fotos
Robin               Rico                 Indio              Leer
Superhéroe         Dinero               Remo               Publicación
Guason              Plata                Bote               Quiosco




CALVO               JOHNSON’S            HOTEL ALOJAMIENTO             JADEAR
Cabeza              Shampoo              Hora                         Gemir
Pelado              Pelo                 Albergue                     Gritar
Pelo                Lavar                Telo                         Respirar
Cabello             Jabón                Habitación                   Boca
Postizo             Marca                Pagar                         Gozar



FALCON              QUIETO               BARANDA            PARLANTE
Auto                Agitado              Agarrarse          Bafle
Ford                Tranquilo            Escalera           Escuchar
4 ruedas            Inmóvil             Pasamano           Música
Patrullero          Moverse              Balcón            Estéreo
Policía            Sentado              Olor               Altavoz



PLANO               CIENTIFICO           GEOMETRIA          INVISIBLE
Construir           Descubrimiento       Ángulos           Hombre
Guía               Experimento          Escuela            Ver
Edificio            Laboratorio          Escuadra           Mirar
Arquitecto          Microscopio          Compas             Transparente
Mapa                Tubo de ensayo       Polígonos         Fantasma


CARPETA             CHEQUE               BIBLIOTECA         SEÑAL
Cuaderno            Banco                Escritores         Marca
Hojas               Plata                Leer               Huella
Tapas               Pagar                Libros             Ruta
Forro               Papel                Silencio           Cartel
Colegio             Firmar               Fichero            Indicio




CARTAS DE TAROT     PARTE               TEJER              RAMBO
Bola de cristal     Entero              Agujas              Sylvester Stallone
Adivinar            Trozo               Ovillo             Rocky
Futuro              Pedazo              Crochet            Actor
Gitano              Fracción            Pullover               Película
Naipes              Fragmento           Lana                    Vietnam




ENANO               FOSFOROS             SONRISA            APOSTADOR
Bajo                Madera               Dientes            Perder
Alto                Fuego                Labios             Ganar
Petiso              Prender              Cara               Lotería
Circo               Encendedor           Boca               Jugar
Blancanieves        Cerillas             Alegría           Carreras



GATO                ARBITRO              SHELL              GUERRA
